Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
e,28,1,3,3,91,14.174,524,13.526,0.648,2505,-2.346,sample,20221221,Sulfide
e,28,1,3,4,55.9,27.9,1395,26.624,1.276,6685,-0.173,sample,20221221,Sulfide
e,28,1,3,5,55.2,28.251,1403,26.958,1.292,6723,0.029,sample,20221221,Sulfide
e,70.5,1,5,1,53.9,31.827,1581,30.372,1.454,7568,0,sample,20221114,Sulfide
e,70.5,1,5,2,53.6,31.928,1583,30.469,1.459,7579,0.018,sample,20221114,Sulfide
e,70.5,1,5,3,115.5,31.536,368,11.009,0.527,1760,-2.401,sample,20221114,Sulfide
e,70.5,1,5,4,53.3,31.324,1561,29.893,1.431,7475,-0.18,sample,20221114,Sulfide
e,70.5,1,5,5,54.5,31.762,1572,30.311,1.451,7528,-0.122,sample,20221114,Sulfide
e,70.5,2,5,1,54.2,31.363,1558,29.93,1.433,7457,0,sample,20221114,Sulfide
e,70.5,2,5,2,55.3,31.498,1559,30.059,1.439,7465,0.055,sample,20221114,Sulfide
e,70.5,2,5,3,108.8,30.664,367,10.176,0.488,1759,-3.22,sample,20221114,Sulfide
e,70.5,2,5,4,53.6,31.091,1551,29.671,1.42,7425,-0.225,sample,20221114,Sulfide
e,70.5,2,5,5,55.1,31.407,1554,29.972,1.435,7441,-0.127,sample,20221114,Sulfide
e,121.5,1,8,1,53.9,31.57,1569,30.128,1.442,7511,0,sample,20221114,Sulfide
e,121.5,1,8,2,54.5,31.707,1571,30.259,1.449,7519,0.082,sample,20221114,Sulfide
e,121.5,1,8,3,180,75.749,2329,72.296,3.453,11114,-2.463,sample,20221114,Sulfide
e,121.5,1,8,4,55.2,31.608,1569,30.164,1.444,7510,-0.059,sample,20221114,Sulfide
e,121.5,1,8,5,55,31.751,1570,30.3,1.451,7516,0.032,sample,20221114,Sulfide
e,144.5,2,8,1,54.1,30.28,1504,28.897,1.383,7201,0,sample,20221114,Sulfide
e,144.5,2,8,2,55.1,30.423,1508,29.034,1.389,7217,-0.006,sample,20221114,Sulfide
e,144.5,2,8,3,180,52.215,1403,49.835,2.38,6692,-2.442,sample,20221114,Sulfide
e,144.5,2,8,4,53.4,30.345,1507,28.96,1.386,7213,-0.234,sample,20221114,Sulfide
e,144.5,2,8,5,56.8,30.519,1510,29.125,1.394,7225,-0.132,sample,20221114,Sulfide
e,170.5,1,10,1,54.6,31.51,1565,30.07,1.44,7492,0,sample,20221114,Sulfide
e,170.5,1,10,2,55.1,31.617,1566,30.172,1.445,7497,0.01,sample,20221114,Sulfide
e,170.5,1,10,3,169.5,47.343,1454,45.186,2.157,6936,-3.227,sample,20221114,Sulfide
e,170.5,1,10,4,55.3,31.457,1560,30.02,1.437,7470,-0.162,sample,20221114,Sulfide
e,170.5,1,10,5,55.3,31.59,1562,30.146,1.443,7479,-0.052,sample,20221114,Sulfide
e,170.5,2,10,1,54.2,30.322,1505,28.938,1.385,7201,0,sample,20221114,Sulfide
e,170.5,2,10,2,54.1,30.393,1507,29.005,1.388,7213,0.007,sample,20221114,Sulfide
e,170.5,2,10,3,171.1,41.71,1264,39.81,1.9,6028,-2.802,sample,20221114,Sulfide
e,170.5,2,10,4,55.1,30.501,1514,29.109,1.393,7245,-0.118,sample,20221114,Sulfide
e,170.5,2,10,5,54.9,30.663,1518,29.263,1.4,7265,0.014,sample,20221114,Sulfide
e,236.5,2,13,1,53.3,30.46,1512,29.069,1.391,7234,0,sample,20221114,Sulfide
e,236.5,2,13,2,55.3,30.583,1514,29.187,1.397,7247,-0.049,sample,20221114,Sulfide
e,236.5,2,13,3,136.5,22.666,718,21.634,1.032,3423,-3.221,sample,20221114,Sulfide
e,236.5,2,13,4,53,30.279,1510,28.897,1.383,7225,-0.236,sample,20221114,Sulfide
e,236.5,2,13,5,55.3,33.551,1661,32.019,1.532,7949,-0.054,sample,20221114,Sulfide
e,354.5,1,15,1,53.7,29.684,1477,28.328,1.356,7066,0,sample,20221114,Sulfide
e,354.5,1,15,2,56.2,29.796,1478,28.435,1.361,7073,0.002,sample,20221114,Sulfide
e,354.5,1,15,3,148.1,24.763,675,23.639,1.124,3206,-6.901,sample,20221114,Sulfide
e,354.5,1,15,4,53.9,29.481,1468,28.135,1.346,7023,-0.245,sample,20221114,Sulfide
e,354.5,1,15,5,54.2,29.603,1466,28.251,1.352,7018,-0.004,sample,20221114,Sulfide
e,354.5,2,15,1,54.5,29.183,1452,27.85,1.333,6951,0,sample,20221114,Sulfate
e,354.5,2,15,2,54.7,29.295,1452,27.956,1.339,6952,0.051,sample,20221114,Sulfate
e,354.5,2,15,3,132.5,27.233,848,25.991,1.242,4046,-1.781,sample,20221114,Sulfate
e,354.5,2,15,4,54,29.141,1450,27.809,1.331,6940,-0.157,sample,20221114,Sulfate
e,354.5,2,15,5,54.8,29.378,1456,28.036,1.342,6971,-0.019,sample,20221114,Sulfate
e,354.5,1,15,1,50.5,27.253,1359,26.007,1.247,6516,0,sample,20221221,Sulfide
e,354.5,1,15,2,54.7,27.417,1364,26.163,1.254,6536,0.163,sample,20221221,Sulfide
e,354.5,1,15,3,98.2,18.7,701,17.85,0.849,3334,-7.992,sample,20221221,Sulfide
e,354.5,1,15,4,54.2,27.235,1362,25.989,1.245,6526,-0.244,sample,20221221,Sulfide
e,354.5,1,15,5,53.5,27.564,1369,26.303,1.261,6559,0.037,sample,20221221,Sulfide
e,387.5,2,16,1,53,29.257,1454,27.921,1.336,6957,0,sample,20221114,Sulfate
e,387.5,2,16,2,54.5,29.394,1456,28.051,1.342,6971,0.097,sample,20221114,Sulfate
e,387.5,2,16,3,165.5,35.515,1129,33.896,1.619,5388,-1.803,sample,20221114,Sulfate
e,387.5,2,16,4,53.7,31.856,1582,30.401,1.455,7570,-0.107,sample,20221114,Sulfate
e,387.5,2,16,5,55.3,31.961,1582,30.502,1.46,7571,0.046,sample,20221114,Sulfate
e,387.5,1,16,1,53.7,29.425,1463,28.081,1.344,7005,0,sample,20221114,Sulfate
e,387.5,1,16,2,55.5,29.568,1465,28.217,1.351,7013,0.077,sample,20221114,Sulfate
e,387.5,1,16,3,107.1,14.714,497,14.043,0.671,2370,-1.695,sample,20221114,Sulfate
e,387.5,1,16,4,55.8,29.16,1451,27.828,1.332,6945,-0.086,sample,20221114,Sulfate
e,387.5,1,16,5,52.5,29.367,1457,28.026,1.342,6976,0.066,sample,20221114,Sulfate
e,410.5,1,17,1,52.8,27.994,1394,26.716,1.278,6670,0,sample,20221114,Sulfate
e,410.5,1,17,2,54.5,28.595,1417,27.289,1.306,6783,0.023,sample,20221114,Sulfate
e,410.5,1,17,3,154.1,50.112,1598,47.83,2.282,7615,-2.59,sample,20221114,Sulfate
e,410.5,1,17,4,53.6,28.712,1426,27.401,1.311,6821,-0.295,sample,20221114,Sulfate
e,410.5,1,17,5,54,28.737,1423,27.425,1.312,6807,-0.119,sample,20221114,Sulfate
e,433.5,2,18,1,57.7,28.991,1439,27.665,1.325,6895,-0.017,sample,20221221,Sulfate
e,433.5,2,18,2,57.3,28.848,1433,27.529,1.319,6867,0.126,sample,20221221,Sulfate
e,433.5,2,18,3,92,16.55,626,15.795,0.754,2987,-2.542,sample,20221221,Sulfate
e,433.5,2,18,4,57.4,28.566,1426,27.26,1.305,6831,-0.221,sample,20221221,Sulfate
e,433.5,2,18,5,58.4,28.897,1435,27.576,1.321,6877,0.095,sample,20221221,Sulfate
